Fund,Strategy,Period,Capital Calls,Distributions,Currency,Notes
Apex Buyout Fund,Large-Cap Buyout,2024-01,2750000,0,USD,Higher than forecast due to accelerated deal deployment
Apex Buyout Fund,Large-Cap Buyout,2024-02,2200000,0,USD,Slightly above plan
Apex Buyout Fund,Large-Cap Buyout,2024-03,1600000,250000,USD,Distributions delayed to Q2
Apex Buyout Fund,Large-Cap Buyout,2024-04,1100000,500000,USD,
Apex Buyout Fund,Large-Cap Buyout,2024-05,600000,800000,USD,
Apex Buyout Fund,Large-Cap Buyout,2024-06,300000,1200000,USD,
Nordic Growth Capital,Nordic Tech Growth,2024-01,1500000,0,EUR,On plan
Nordic Growth Capital,Nordic Tech Growth,2024-02,1100000,0,EUR,Slightly below plan
Nordic Growth Capital,Nordic Tech Growth,2024-03,900000,0,EUR,Below plan — deal pushed to Q2
Nordic Growth Capital,Nordic Tech Growth,2024-04,1200000,100000,EUR,Catch-up call from Q1 delay
Nordic Growth Capital,Nordic Tech Growth,2024-05,550000,400000,EUR,
Nordic Growth Capital,Nordic Tech Growth,2024-06,200000,600000,EUR,
Sunrise Infrastructure,Renewables,2024-01,800000,0,USD,On plan
Sunrise Infrastructure,Renewables,2024-02,700000,0,USD,On plan
Sunrise Infrastructure,Renewables,2024-03,550000,0,USD,Slightly below
Sunrise Infrastructure,Renewables,2024-04,480000,80000,USD,
Sunrise Infrastructure,Renewables,2024-05,380000,180000,USD,
Sunrise Infrastructure,Renewables,2024-06,290000,290000,USD,
Meridian Direct Lending Fund,Direct Lending,2024-01,1250000,120000,USD,Slightly ahead of plan on originations
Meridian Direct Lending Fund,Direct Lending,2024-02,1050000,160000,USD,
Meridian Direct Lending Fund,Direct Lending,2024-03,750000,220000,USD,Faster prepayments than expected
Meridian Direct Lending Fund,Direct Lending,2024-04,650000,260000,USD,
Meridian Direct Lending Fund,Direct Lending,2024-05,420000,310000,USD,
Meridian Direct Lending Fund,Direct Lending,2024-06,280000,370000,USD,
Beacon Real Estate Partners,Value-Add Real Estate,2024-01,1100000,0,GBP,Acquisition closed ahead of schedule
Beacon Real Estate Partners,Value-Add Real Estate,2024-02,850000,0,GBP,
Beacon Real Estate Partners,Value-Add Real Estate,2024-03,820000,0,GBP,
Beacon Real Estate Partners,Value-Add Real Estate,2024-04,680000,0,GBP,
Beacon Real Estate Partners,Value-Add Real Estate,2024-05,590000,0,GBP,
Beacon Real Estate Partners,Value-Add Real Estate,2024-06,520000,60000,GBP,Early refinancing proceeds received
