Fund,Strategy,Period,Capital Calls,Distributions,Currency
Apex Buyout Fund,Large-Cap Buyout,2024-01,2500000,0,USD
Apex Buyout Fund,Large-Cap Buyout,2024-02,2000000,0,USD
Apex Buyout Fund,Large-Cap Buyout,2024-03,1500000,500000,USD
Apex Buyout Fund,Large-Cap Buyout,2024-04,1000000,750000,USD
Apex Buyout Fund,Large-Cap Buyout,2024-05,500000,1000000,USD
Apex Buyout Fund,Large-Cap Buyout,2024-06,250000,1500000,USD
Apex Buyout Fund,Large-Cap Buyout,2024-07,0,2000000,USD
Apex Buyout Fund,Large-Cap Buyout,2024-08,0,2500000,USD
Apex Buyout Fund,Large-Cap Buyout,2024-09,0,1750000,USD
Apex Buyout Fund,Large-Cap Buyout,2024-10,0,1250000,USD
Apex Buyout Fund,Large-Cap Buyout,2024-11,0,750000,USD
Apex Buyout Fund,Large-Cap Buyout,2024-12,0,500000,USD
Nordic Growth Capital,Nordic Tech Growth,2024-01,1500000,0,EUR
Nordic Growth Capital,Nordic Tech Growth,2024-02,1250000,0,EUR
Nordic Growth Capital,Nordic Tech Growth,2024-03,1000000,0,EUR
Nordic Growth Capital,Nordic Tech Growth,2024-04,750000,250000,EUR
Nordic Growth Capital,Nordic Tech Growth,2024-05,500000,500000,EUR
Nordic Growth Capital,Nordic Tech Growth,2024-06,250000,750000,EUR
Nordic Growth Capital,Nordic Tech Growth,2024-07,0,1000000,EUR
Nordic Growth Capital,Nordic Tech Growth,2024-08,0,1250000,EUR
Nordic Growth Capital,Nordic Tech Growth,2024-09,0,900000,EUR
Nordic Growth Capital,Nordic Tech Growth,2024-10,0,600000,EUR
Nordic Growth Capital,Nordic Tech Growth,2024-11,0,400000,EUR
Nordic Growth Capital,Nordic Tech Growth,2024-12,0,200000,EUR
Sunrise Infrastructure,Renewables,2024-01,800000,0,USD
Sunrise Infrastructure,Renewables,2024-02,700000,0,USD
Sunrise Infrastructure,Renewables,2024-03,600000,0,USD
Sunrise Infrastructure,Renewables,2024-04,500000,100000,USD
Sunrise Infrastructure,Renewables,2024-05,400000,200000,USD
Sunrise Infrastructure,Renewables,2024-06,300000,300000,USD
Sunrise Infrastructure,Renewables,2024-07,200000,400000,USD
Sunrise Infrastructure,Renewables,2024-08,100000,500000,USD
Sunrise Infrastructure,Renewables,2024-09,0,600000,USD
Sunrise Infrastructure,Renewables,2024-10,0,700000,USD
Sunrise Infrastructure,Renewables,2024-11,0,800000,USD
Sunrise Infrastructure,Renewables,2024-12,0,850000,USD
